,Year,Min,Max,Avg
0,2003,121420.11,130995.81,125730.37
1,2004,130822.51,148474.96,138035.44
2,2005,150257.24,168303.53,157462.58
3,2006,170230.73,190147.66,183037.24
4,2007,191060.37,214182.97,200823.28
5,2008,212878.04,224607.92,217097.71
6,2009,224298.15,231659.44,226187.61
7,2010,217256.85,230723.58,226367.68
8,2011,201444.44,220825.91,210602.4
9,2012,202589.5,211798.63,207831.52
10,2013,203479.6,209631.22,207629.57
11,2014,201818.45,205468.1,203436.46
12,2015,201952.45,212347.94,207593.48
13,2016,209259.84,225278.44,214977.32
14,2017,222702.72,233264.35,226365.06
15,2018,235466.44,262737.44,249784.24
16,2019,261253.38,263552.85,262505.68
17,2020,263264.85,277930.03,267973.05
18,2021,282688.32,324849.48,307308.91
19,2022,326651.69,360144.53,344849.24
20,2023,355522.87,364904.87,360865.61
