,Year,Min,Max,Avg
0,2003,87172.66,93365.27,90851.64
1,2004,92483.05,106605.7,97918.45
2,2005,108394.86,121518.33,114031.36
3,2006,122589.39,137264.33,129387.41
4,2007,139404.94,143996.01,142154.76
5,2008,141811.85,147083.03,144648.96
6,2009,136426.32,144784.87,139608.72
7,2010,135662.93,138115.8,136484.45
8,2011,124527.89,135903.85,130089.59
9,2012,114699.11,123317.88,117784.85
10,2013,113290.33,116736.91,115039.82
11,2014,112163.68,114595.31,113369.5
12,2015,111542.16,116874.07,114316.77
13,2016,115982.21,117204.88,116426.83
14,2017,115612.6,121208.4,117571.89
15,2018,121936.88,129276.74,126281.16
16,2019,128268.45,135476.16,131963.32
17,2020,136253.78,148405.64,141257.86
18,2021,150347.27,164544.36,158310.57
19,2022,166434.65,182172.22,177127.1
20,2023,178956.77,188446.26,182635.09
