,Year,Min,Max,Avg
0,2003,61083.43,77896.6,66515.32
1,2004,67919.53,84706.95,80419.42
2,2005,71164.43,84180.32,77586.72
3,2006,70219.47,83571.04,73257.59
4,2007,85702.81,93198.0,88936.94
5,2008,81313.06,90857.84,85741.48
6,2009,67327.77,79838.68,72495.8
7,2010,68506.89,76704.23,72128.93
8,2011,66072.56,69822.01,68433.09
9,2012,68043.46,69851.82,69181.27
10,2013,68634.65,70862.57,70107.01
11,2014,64222.53,70628.56,66719.52
12,2015,70110.35,77147.81,73877.25
13,2016,73790.51,74836.37,74272.38
14,2017,73581.49,82217.14,75973.41
15,2018,84835.12,88431.45,87282.44
16,2019,89141.59,99141.06,93365.21
17,2020,100509.96,110774.83,104074.43
18,2021,113265.12,118032.9,115513.34
19,2022,115499.48,128965.47,124326.07
20,2023,121536.43,130196.02,125572.77
