state,value
West Virginia,146.86501735826772
Kentucky,132.11770195065696
Wyoming,131.73761650200723
Missouri,127.17659111821008
Indiana,121.62734356792357
Utah,113.7975833257385
Hawaii,104.0673958403046
North Dakota,102.62307113543552
Ohio,90.84042222729292
Nebraska,89.47211461215377
Colorado,89.39609752242382
Wisconsin,89.09202916350401
Montana,80.80616638293922
New Mexico,80.80616638293922
Arkansas,79.51387585753004
Alaska,76.8532777169817
Michigan,76.16912390941214
Delaware,73.73657703805367
Kansas,66.5149535137082
Texas,64.38647500126955
Louisiana,64.31045791153959
Florida,63.854355373159876
Rhode Island,63.0181673861304
Mississippi,62.48604775802073
Iowa,58.76121036125308
Minnesota,58.30510782287336
Massachusetts,57.54493692557384
Georgia,55.79654386178494
Oklahoma,54.88433878502551
Alabama,54.7323046055656
Pennsylvania,54.352219156915844
Nevada,53.51603116988637
Maryland,51.23551847798781
Arizona,51.08348429852791
Illinois,50.931450119067996
North Carolina,50.399330490958334
Tennessee,49.94322795257862
Virginia,45.610253837971335
South Carolina,40.28905755687469
Connecticut,39.45286956984521
New Jersey,35.19591254496788
New York,34.35972455793841
California,29.722682084411325
South Dakota,21.664870573036385
Oregon,21.436819303846526
New Hampshire,21.132750944926723
Maine,19.840460419517534
Idaho,18.09206735572863
Washington,15.127400856260495
Vermont,0.07601708972995223
