,Protein,Vegetables,Carbs,Fruits,Drinks
January,232.3167334055486,124.1375548558845,150.48243184582927,134.60428050053724,289.4807510109526
February,192.16897744893276,131.8014982681214,142.6357273246775,109.1624791747821,286.2043590094481
March,196.21157282800098,202.56415088485898,170.03848063784918,158.68749317668528,117.18830523996654
April,234.6439665448172,216.01359732923183,179.30096634609612,156.05329756692498,142.1038824552395
May,228.29072801875728,203.0156442451783,174.40498640525806,144.8122203441048,109.95226953017715
June,156.19670054486934,206.57939862651796,109.32788237396241,202.1317037764184,97.95720151662726
July,161.37925190449525,214.614939256023,128.48868172985937,245.36191859468028,116.54509063752548
August,123.1967013453998,219.7815014324881,113.4039466105915,216.81044604727063,92.93638460931282
September,277.7049008406853,223.71840553863302,180.22415079650983,339.2648788989426,82.51496765357345
October,236.32756248230976,215.73995554152023,178.41783344932128,301.9657085047183,101.05072368548639
November,216.18956935350906,223.6229720473793,171.69067077735588,311.9759294806638,72.95757364750146
December,278.4976885583528,143.73111447228567,154.9350295696539,154.72303826674454,268.85388727904564
